timestamp_ns	elapsed_ms	rss_kib	hwm_kib	threads	cpu_percent	cgroup_current	cgroup_peak	version_http	health_http
1788892048277502695	85572	311668	311668	8	32.1	357822464	358637568	200	200
1788892049302554920	86597	329204	329204	8	32.3	374812672	376725504	200	200
1788892050340803697	87635	346612	346612	8	32.5	392732672	394301440	200	200
1788892051359439960	88653	353908	353908	8	32.8	400031744	401850368	200	200
1788892052399818833	89694	353908	353908	8	33.0	400695296	402337792	200	200
1788892053419362719	90713	353908	353908	8	33.1	400277504	402853888	200	200
1788892054436817128	91731	353908	353908	8	33.3	401022976	402853888	200	200
1788892055458053381	92752	353908	353908	8	33.5	400351232	403214336	200	200
1788892056482243978	93776	353908	353908	8	33.7	400474112	403214336	200	200
1788892057510719678	94805	360052	360052	8	33.8	406847488	408358912	200	200
1788892058529515137	95824	375284	375412	8	34.0	422293504	424075264	200	200
1788892059552910207	96847	393684	393940	8	34.2	441933824	443731968	200	200
1788892060570136897	97864	411988	411988	8	34.4	460378112	461881344	200	200
1788892061587781415	98882	431316	431316	8	34.6	480653312	482017280	200	200
1788892062606219743	99900	437076	437076	8	34.8	485576704	487342080	200	200
1788892063629647409	100924	437076	437076	8	34.9	485945344	488316928	200	200
1788892064648400516	101942	437076	437076	8	35.1	485646336	488316928	200	200
1788892065667780448	102962	437076	437076	8	35.2	485240832	488316928	200	200
1788892066705283763	103999	437204	437204	8	35.4	485703680	488316928	200	200
1788892067723525660	105018	462548	462548	8	35.5	511823872	513073152	200	200
1788892068742238708	106036	502356	502356	8	35.5	552693760	553930752	200	200
1788892069761270297	107055	542292	542292	8	35.6	593715200	594690048	200	200
1788892070790892321	108085	557908	557908	8	35.8	609873920	611389440	200	200
1788892071809742003	109104	557908	557908	8	35.8	609759232	612020224	200	200
1788892074665165184	111959	557908	557908	8	35.9	609812480	612020224	200	200
1788892075690499352	112985	557908	557908	8	35.9	609796096	612020224	200	200
1788892076716349864	114010	592404	592404	8	36.1	645246976	647008256	200	200
1788892077733907916	115028	594324	594324	8	36.1	647032832	648556544	200	200
1788892078752391392	116046	594324	594324	8	36.2	646828032	650158080	200	200
1788892079778593165	117073	594324	594324	8	36.2	647081984	650158080	200	200
1788892080801394016	118095	594324	594324	8	36.3	647311360	650158080	200	200
1788892081821412435	119115	594580	594580	8	36.3	647688192	650158080	200	200
1788892082843523272	120138	595068	595220	8	36.5	648069120	650194944	200	200
1788892083861122568	121155	595068	595220	8	36.5	648392704	650194944	200	200
1788892084883032913	122177	595068	595220	8	36.5	648462336	650489856	200	200
1788892085901269033	123195	595068	595220	8	36.6	647823360	650489856	200	200
1788892086921217734	124215	595144	595220	8	36.7	647729152	650489856	200	200
1788892087943533421	125238	595144	595220	8	36.7	647487488	650489856	200	200
1788892088967402943	126261	595144	595220	8	36.8	647421952	650489856	200	200
1788892089994430633	127288	595144	595220	8	36.8	647974912	650489856	200	200
1788892091025264811	128319	595144	595220	8	36.8	648028160	650489856	200	200
1788892092051793371	129346	595272	595272	8	36.8	648089600	650489856	200	200
1788892093075616157	130370	595244	595656	8	36.9	648019968	650489856	200	200
1788892094097804333	131392	595244	595656	8	36.9	647311360	650489856	200	200
1788892095132713720	132427	595244	595656	8	36.9	647213056	650489856	200	200
1788892096164018330	133458	595244	595656	8	36.9	647196672	650489856	200	200
1788892097203330824	134497	595244	595656	8	37.0	647925760	650489856	200	200
1788892098225190195	135519	595244	595656	8	37.0	648019968	650489856	200	200
1788892099247582373	136542	596780	596780	8	37.3	649826304	651321344	200	200
1788892100267652994	137562	596780	596780	8	37.3	649801728	652128256	200	200
1788892101287646700	138582	596780	596780	8	37.4	649748480	652275712	200	200
1788892102318358760	139612	596780	596780	8	37.4	649273344	652275712	200	200
1788892103342122403	140636	596780	596780	8	37.5	649781248	652275712	200	200
1788892106205905224	143500	595212	596780	8	37.6	647905280	652537856	200	200
1788892107229418291	144523	595212	596780	8	37.6	647499776	652537856	200	200
1788892108256321950	145550	595212	596780	8	37.6	647872512	652537856	200	200
1788892109274900545	146569	595212	596780	8	37.7	648011776	652537856	200	200
1788892110296154822	147590	595212	596780	8	37.7	648028160	652537856	200	200
1788892111324397186	148618	595212	596780	8	37.9	647430144	652537856	200	200
1788892112347173492	149641	595212	596780	8	37.9	647647232	652537856	200	200
1788892113369280003	150663	595212	596780	8	37.9	648196096	652537856	200	200
1788892114393925110	151688	595212	596780	8	37.9	647737344	652537856	200	200
1788892115419621190	152714	595212	596780	8	38.0	648486912	652537856	200	200
1788892116438821664	153733	595212	596780	8	38.0	647692288	652537856	200	200
1788892117463700698	154758	595212	596780	8	38.1	647823360	652537856	200	200
1788892118487134931	155781	595212	596780	8	38.1	648531968	652537856	200	200
1788892119504987680	156799	595212	596780	8	38.1	648208384	652537856	200	200
1788892120525364505	157819	595212	596780	8	38.1	647716864	652537856	200	200
1788892121550806246	158845	595212	596780	8	38.2	647905280	652537856	200	200
1788892122569023465	159863	595212	596780	8	38.2	647823360	652537856	200	200
1788892123587038598	160881	595212	596780	8	38.2	647532544	652537856	200	200
1788892124604956602	161899	595212	596780	8	38.3	647696384	652537856	200	200
1788892125625101661	162919	595212	596780	8	38.3	648003584	652537856	200	200
1788892126643924661	163938	595212	596780	8	38.4	647745536	652537856	200	200
1788892127663317343	164957	595212	596780	8	38.4	648605696	652537856	200	200
1788892128681849983	165976	595212	596780	8	38.4	647299072	652537856	200	200
1788892129707291866	167001	595212	596780	8	38.4	648003584	652537856	200	200
1788892130725142131	168019	595468	596780	8	38.5	648724480	652537856	200	200
1788892131743842785	169038	595468	596780	8	38.5	648359936	652537856	200	200
1788892132763183581	170057	595468	596780	8	38.5	648425472	652537856	200	200
1788892133780823649	171075	595468	596780	8	38.5	648192000	652537856	200	200
1788892134799090414	172093	595468	596780	8	38.5	648560640	652537856	200	200
1788892136623717402	173918	595172	596780	8	38.6	647979008	652537856	200	200
1788892138690473989	175985	595172	596780	8	38.6	647503872	652537856	200	200
1788892139711722964	177006	595172	596780	8	38.6	648175616	652537856	200	200
1788892140735406091	178029	595172	596780	8	38.6	648630272	652537856	200	200
1788892141758363472	179052	595172	596780	8	38.6	648126464	652537856	200	200
1788892142783240567	180077	595172	596780	8	38.7	647831552	652537856	200	200
1788892143803829438	181098	595172	596780	8	38.7	647966720	652537856	200	200
1788892144823709602	182118	595172	596780	8	38.8	647827456	652537856	200	200
1788892145852561638	183147	595172	596780	8	38.8	647827456	652537856	200	200
1788892146879148175	184173	595172	596780	8	38.8	648048640	652537856	200	200
1788892147918907968	185213	595172	596780	8	38.8	648044544	652537856	200	200
1788892148945700951	186240	595172	596780	8	38.9	647770112	652537856	200	200
1788892149963309945	187257	595172	596780	8	38.9	648978432	652537856	200	200
1788892150984582155	188279	595172	596780	8	38.9	648282112	652537856	200	200
1788892152003687807	189298	595172	596780	8	38.9	648200192	652537856	200	200
